Country Name,Country Code,Indicator Code,value_2014
Arab World,ARB,UIS.NERA.2,
Arab World,ARB,UIS.NERA.2.F,
Arab World,ARB,UIS.NERA.2.GPI,
Arab World,ARB,UIS.NERA.2.M,
Arab World,ARB,SE.PRM.TENR,85.32
Arab World,ARB,SE.PRM.TENR.FE,83.82
Arab World,ARB,UIS.NERA.1.GPI,0.97
Arab World,ARB,SE.PRM.TENR.MA,86.75
Arab World,ARB,UIS.NERA.3,
Arab World,ARB,UIS.NERA.3.F,
Arab World,ARB,UIS.NERA.3.GPI,
Arab World,ARB,UIS.NERA.3.M,
Arab World,ARB,UIS.NIRA.1,76.62
Arab World,ARB,UIS.NIRA.1.F,76.45
Arab World,ARB,UIS.NIRA.1.GPI,1.00
Arab World,ARB,UIS.NIRA.1.M,76.78
Arab World,ARB,UIS.LPP.AG15T99,64.89
Arab World,ARB,UIS.LP.AG15T99,55698608.00
Arab World,ARB,UIS.LP.AG15T99.F,36143756.00
Arab World,ARB,UIS.LP.AG15T99.M,19554852.00
Arab World,ARB,SE.ADT.LITR.ZS,77.36
Arab World,ARB,SE.ADT.LITR.FE.ZS,69.23
Arab World,ARB,UIS.LR.AG15T99.GPI,0.82
Arab World,ARB,SE.ADT.LITR.MA.ZS,84.73
Arab World,ARB,UIS.AFR.AGRADMG.1.PU,
Arab World,ARB,UIS.AFR.PBR.1.G1.PU.MATH,
Arab World,ARB,UIS.AFR.PBR.1.G2.PU.MATH,
Arab World,ARB,UIS.AFR.PBR.1.G3.PU.MATH,
Arab World,ARB,UIS.AFR.PBR.1.G4.PU.MATH,
Arab World,ARB,UIS.AFR.PBR.1.G5.PU.MATH,
Arab World,ARB,UIS.AFR.PBR.1.G6.PU.MATH,
Arab World,ARB,UIS.AFR.PBR.1.G7.PU.MATH,
Arab World,ARB,UIS.AFR.PBR.1.PU.MATH,
Arab World,ARB,UIS.AFR.PBR.1.G1.PU.READ,
Arab World,ARB,UIS.AFR.PBR.1.G2.PU.READ,
Arab World,ARB,UIS.AFR.PBR.1.G3.PU.READ,
Arab World,ARB,UIS.AFR.PBR.1.G4.PU.READ,
Arab World,ARB,UIS.AFR.PBR.1.G5.PU.READ,
Arab World,ARB,UIS.AFR.PBR.1.G6.PU.READ,
Arab World,ARB,UIS.AFR.PBR.1.G7.PU.READ,
Arab World,ARB,UIS.AFR.PBR.1.PU.READ,
Arab World,ARB,UIS.AFR.CS.1.PU,
Arab World,ARB,UIS.AFR.CS.MG.1.PU,
Arab World,ARB,UIS.AFR.CS.SG.1.G1.PU,
