"calle";"numero"
"1 DE MAYO";"3931"
"1 DE MAYO";"3932"
"1 DE MAYO";"3932"
"1 DE MAYO";"3942"
"1 DE MAYO";"3943"
"1 DE MAYO";"3957"
"1 DE MAYO";"3959"
"1 DE MAYO";"3959"
"1 DE MAYO";"3962"
"1 DE MAYO";"3962"
"1 DE MAYO";"3962"
"1 DE MAYO";"3979"
"1 DE MAYO";"3983"
"1 DE MAYO";"3987"
"1 DE MAYO";"3988"
"1 DE MAYO";"8469"
"1 DE MAYO";"8525"
"1 DE MAYO";"8525"
"1 DE MAYO";"8525"
"1 DE MAYO";"8575"
"1 DE MAYO";"8575"
"1 DE MAYO";"8900"
"1 DE MAYO";"8917"
"1 DE MAYO";"8931"
"1 DE MAYO";"8937"
"1 DE MAYO";"8945"
"1 DE MAYO";"8945"
"1 DE MAYO";"8945"
"1 DE MAYO";"8949"
"1 DE MAYO";"9109"
"1 DE MAYO";"9153"
"1 DE MAYO";"9224"
"1 DE MAYO";"9226"
"1 DE MAYO";"9227"
"1 DE MAYO";"9259"
"1 DE MAYO";"9279"
"1 DE MAYO";"9307"
"1 DE MAYO";"9307"
"1 DE MAYO";"9327"
"1 DE MAYO";"9327"
"1 DE MAYO";"9346"
"1 DE MAYO";"9346"
"1 DE MAYO";"9355"
"1 DE MAYO";"9357"
"1 DE MAYO";"9378"
"1 DE MAYO";"9399"
"1 DE MAYO";"9399"
"1 DE MAYO";"9399"
"1 DE MAYO";"9399"
"1 DE MAYO";"9412"
"1 DE MAYO";"9423"
"1 DE MAYO";"9423"
"1 DE MAYO";"9431"
"1 DE MAYO";"9440"
"1 DE MAYO";"9440"
"1 DE MAYO";"9481"
"1 DE MAYO";"9481"
"1 DE MAYO";"9481"
"1 DE MAYO";"9502"
"1 DE MAYO";"9520"
"1 DE MAYO";"9522"
"1 DE MAYO";"9525"
"1 DE MAYO";"9529"
"1 DE MAYO";"9529"
"1 DE MAYO";"9545"
"1 DE MAYO";"9545"
"1 DE MAYO";"9545"
"1 DE MAYO";"9588"
"1 DE MAYO";"9591"
"1 DE MAYO ESQUINA CHUBUT";"S/N"
"1 DE MAYO Y GORRITI";"S/N"
"1 PASAJE";"4373"
"1 PASAJE";"6879"
"1 PASAJE";"7940"
"1 PJE.PUBLICO";"7071"
"1 SCHMIDL";"9529"
"1.PJE.PUBLICO";"7980"
"100.95";"9383"
"11 DE MARZO";"2331"
"11 DE MARZO";"2534"
"11 DE MARZO";"2534"
"11 DE MARZO";"5406"
"11 DE MARZO";"5406"
"11 DE MARZO";"5406"
"11 DE MARZO";"5406"
"11 DE MARZO";"5418"
"11 DE MARZO";"5418"
"11 DE MARZO";"5418"
"11 DE MARZO";"5428"
"11 DE MARZO";"5428"
"11 DE MARZO";"5428"
"11 DE MARZO";"5440"
"11 DE MARZO";"5440"
"11 DE MARZO";"5440"
"11 DE MARZO";"5452"
"11 DE MARZO";"5452"
"11 DE MARZO";"5452"
"11 DE MARZO";"5474"
"11 DE MARZO";"5474"
"11 DE MARZO";"5520"
"11 DE MARZO";"5520"
"11 DE MARZO";"5520"
"11 DE MARZO";"5520"
"11 DE MARZO";"5521"
"11 DE MARZO";"5521"
"11 DE MARZO";"5526"
"11 DE MARZO";"5526"
"11 DE MARZO";"5530"
"11 DE MARZO";"5530"
"11 DE MARZO";"5531"
"11 DE MARZO";"5531"
"11 DE MARZO";"5531"
"11 DE MARZO";"5535"
"11 DE MARZO";"5535"
"11 DE MARZO";"5545"
"11 DE MARZO";"5545"
"11 DE MARZO";"5546"
"11 DE MARZO";"5546"
"11 DE MARZO";"5546"
"11 DE MARZO";"5546"
"11 DE MARZO";"5546"
"11 DE MARZO";"5546"
"11 DE MARZO";"5551"
"11 DE MARZO";"5552"
"11 DE MARZO";"5552"
"11 DE MARZO";"5554"
"11 DE MARZO";"5554"
"11 DE MARZO";"5554"
"11 DE MARZO";"5554"
"11 DE MARZO";"5555"
"11 DE MARZO";"5560"
"11 DE MARZO";"5560"
"11 DE MARZO";"5565"
"11 DE MARZO";"5570"
"11 DE MARZO";"5575"
"11 DE MARZO";"5576"
"11 DE MARZO";"5580"
"11 DE MARZO";"5580"
"11 DE MARZO";"5581"
"11 DE MARZO";"5581"
"11 DE MARZO 19";"5474"
"11 DE MARZO 19";"5521"
"11 DE MARZO 19";"5521"
"11 DE MARZO 19";"5521"
"11 DE MARZO 19";"5560"
"11 DE MARZO 19";"5571"
"11 DE MARZO 19";"5581"
"11 DE MARZO 1973";"5530"
"11 DE MARZO 1973";"5530"
"11 DE MARZO 1973";"5560"
"11 DE MARZO DE 1973";"2524"
"11 DE MARZO DE 1973";"5552"
"11 DE MARZO DE 1973";"5570"
"115.50B";"4228"
"115.50B";"4274"
"115.50B";"4274"
"12 D.INF. Y C.V.ESPERANZA";"S/N"
"12 DE INF Y C.V.A ESPERAN";"S/N"
"12 DE INF. T3";"4386"
"12 DE INF. Y C.V.ESPERANZ";"0"
"12 DE INF. Y C.V.ESPERANZ";"S/N"
"12 DE INF.-M20 1øD1129";"4300"
"12 DE INF.E/EST.Y AGUADO";"S/N"
"12 DE INF.MB.6 P2 D.329";"7595"
"12 DE INF.Y CAFERATTA";"S/N"
"12 DE INF.Y CMO.V.ESPERAN";"6190"
"12 DE INF.Y ESTRADA MB.20";"S/N"
"12 DE INF.Y ESTRADA MB.9";"S/N"
"12 DE INF.Y LARGUIA";"S/N"
"12 DE INF.Y PJE.VIAS";"S/N"
"12 DE INF/CNO.V.ESPERANZA";"S/N"
"12 DE INFAN.Y ESTRADA";"S/N"
"12 DE INFANT 4386";"S/N"
"12 DE INFANT-T.2";"4416"
"12 DE INFANT. T10 P4 D895";"4171"
"12 DE INFANT. Y C.V.ESPER";"S/N"
"12 DE INFANT. Y CNO ESPER";"S/N"
"12 DE INFANT. Y PJE.VIAS";"S/N"
"12 DE INFANT.-T.9-";"4285"
"12 DE INFANT.-T1-P9-";"4526"
"12 DE INFANT./C.V.ESPERAN";"S/N"
"12 DE INFANT.M2";"4400"
"12 DE INFANT.T.7-9";"0"
"12 DE INFANT.T10 7B 909";"4171"
"12 DE INFANT.Y CAFFERATA";"S/N"
"12 DE INFANT.Y DR.ZAVALLA";"S/N"
"12 DE INFANT.Y ESTRADA";"S/N"
"12 DE INFANTANT Y ESTRADA";"4200"
"12 DE INFANTERIA";"1342"
"12 DE INFANTERIA";"135"
"12 DE INFANTERIA";"1442"
"12 DE INFANTERIA";"1540"
"12 DE INFANTERIA";"1701"
"12 DE INFANTERIA";"1842"
"12 DE INFANTERIA";"1912"
"12 DE INFANTERIA";"1916"
"12 DE INFANTERIA";"2171"
"12 DE INFANTERIA";"367"
"12 DE INFANTERIA";"3717"
"12 DE INFANTERIA";"3805"
"12 DE INFANTERIA";"3863"
"12 DE INFANTERIA";"4204"
"12 DE INFANTERIA";"4416"
"12 DE INFANTERIA";"49"
"12 DE INFANTERIA";"493"
"12 DE INFANTERIA";"5012"
"12 DE INFANTERIA";"5538"
"12 DE INFANTERIA";"5550"
"12 DE INFANTERIA";"5654"
"12 DE INFANTERIA";"5868"
"12 DE INFANTERIA";"7221"
"12 DE INFANTERIA";"S/N"
"12 DE INFANTERIA 4171 P4";"S/N"
"12 DE INFANTERIA 430";"S/N"
"12 DE INFANTERIA 4526 P.4";"S/N"
"12 DE INFANTERIA M14 P2";"4233"
"12 DE INFANTERIA MB.9 PB";"4400"
"12 DE INFANTERIA MB20 E13";"4300"
"12 DE INFANTERIA P2";"0"
"12 DE INFANTERIA P3";"4485"
"12 DE INFANTERIA T.3- 3ø";"4386"
"12 DE INFANTERIA T.5 P.7";"4200"
"12 DE INFANTERIA T.6";"4170"
"12 DE INFANTERIA T6 P4D";"4200"
"12 DE INFANTERIA T6 PB";"4170"
"12 DE INFANTERIA TORRE 6";"4170"
"12 DE INFANTERIA TORRE 7";"4485"
"12 DE INFANTERIA Y C V A ESPERANZA";"S/N"
"12 DE INFANTERIA Y CAMINO V A ESPERANZA";"S/N"
"12 DE INFANTERIA Y CAMINO VIEJO ESPERANZA";"S/N"
"12 DE INFANTERIA Y GABOTO";"0"
"12 DE INFANTERIA Y GABOTO";"S/N"
"12 DE INFANTERIA Y LAMADRID";"S/N"
"12 DE INFANTERIA Y LEHMAN";"S/N"
"12 DE INFANTERIA Y LEHMAN";"S/N"
"12 DE INFANTERIA-MB11-P3-";"4333"
"12 DE INFANTERIA-MON.6";"0"
"12 DE INFANTERIA-T5-";"4204"
"12 DE INFANTERIA-T5-P8-";"4204"
"12 DE INFANTERIA/PAS VIA";"0"
"12 DE INTANT/AGUADO MB.8";"0"
"12 DE OCT.Y HUGO WAST";"0"
"12 DE OCTUB";"9746"
"12 DE OCTUB";"9788"
"12 DE OCTUBRE";"6606"
"12 DE OCTUBRE";"9000"
"12 DE OCTUBRE";"9100"
"12 DE OCTUBRE";"9100"
"12 DE OCTUBRE";"9100"
"12 DE OCTUBRE";"9100"
"12 DE OCTUBRE";"9300"
"12 DE OCTUBRE";"9300"
"12 DE OCTUBRE";"9310"
"12 DE OCTUBRE";"9310"
"12 DE OCTUBRE";"9335"
"12 DE OCTUBRE";"9378"
"12 DE OCTUBRE";"9384"
"12 DE OCTUBRE";"9384"
"12 DE OCTUBRE";"9408"
"12 DE OCTUBRE";"9434"
"12 DE OCTUBRE";"9496"
"12 DE OCTUBRE";"9501"
"12 DE OCTUBRE";"9549"
"12 DE OCTUBRE";"9600"
"12 DE OCTUBRE";"9600"
"12 DE OCTUBRE";"9635"
"12 DE OCTUBRE";"9635"
"12 DE OCTUBRE";"9637"
"12 DE OCTUBRE";"9653"
"12 DE OCTUBRE";"9669"
"12 DE OCTUBRE";"9685"
"12 DE OCTUBRE";"9685"
"12 DE OCTUBRE";"9718"
"12 DE OCTUBRE";"9718"
"12 DE OCTUBRE";"9724"
"12 DE OCTUBRE";"9732"
"12 DE OCTUBRE";"9732"
"12 DE OCTUBRE";"9741"
"12 DE OCTUBRE";"9750"
"12 DE OCTUBRE";"9750"
"12 DE OCTUBRE";"9751"
"12 DE OCTUBRE";"9756"
"12 DE OCTUBRE";"9762"
"12 DE OCTUBRE";"9767"
"12 DE OCTUBRE";"9778"
"12 DE OCTUBRE";"9778"
"12 DE OCTUBRE";"9779"
"12 DE OCTUBRE";"9783"
"12 DE OCTUBRE";"9783"
"12 DE OCTUBRE";"9788"
"12 DE OCTUBRE";"9788"
"12 DE OCTUBRE";"9798"
"12 DE OCTUBRE";"9798"
"12 DE OCTUBRE 9683";"S/N"
"12 DE OCTUBRE Y 6øPASAJE";"0"
"12 DE OCTUBRE Y H WAST";"S/N"
"12 DE OCTUBRE Y H WAST";"S/N"
"12 DE OCTUBRE Y H. WAST";"S/N"
"12 DE OCTUBRE Y HUGO WAST";"S/N"
"12 DE OCTUBRE Y PIEDRABUE";"S/N"
"12 DE OCTUBRE Y TTE.LOZA";"S/N"
"12 DE OCTUBRE Y WAST";"S/N"
"12 INF Y SGO DE CHILE";"S/N"
"12 INF.Y CNO V.ESPERANZA";"0"
"12 INF.Y ESTRADA MN10 P1";"S/N"
"12 INFANT. P.10 D.261";"4526"
"12 INFANT.Y C.V.ESPERANZA";"S/N"
"12 INFANTERIA";"1957"
"12 INFANTERIA T9 P8";"4283"
"12 INFANTERIA Y PASAJE VIA";"S/N"
"12 INFANTERIA Y ZAVALLA";"S/N"
"12 OCTUBRE Y H.WAST";"S/N"
"12DE INFANT.Y C.V.ESPERAN";"S/N"
"14";"0"
"14";"S/N"
"14";"S/N"
"14";"S/N"
"14-CASA B 12";"0"
"163,30";"1476"
"169.30";"4753"
"193,50 Y PONCE DE LEON";"0"
"1ER PAS";"4639"
"1ER PAS";"4708"
"1ER PAS";"7930"
"1ER PAS";"9546"
"1ER PASAJE";"4516"
"1ER PJE PUBLICO";"7945"
"1ER PJE.";"7968"
"1ER PJE.PUBLICO";"8445"
"1ER PJE.PUBLICO N.";"7946"
"1ER. PASAJE";"10027"
"1ER. PASAJE";"4654"
"1ER. PASAJE";"4752"
"1ER. PASAJE";"7173"
"1ER. PASAJE";"7325"
"1ER. PASAJE";"9168"
"1ER.PAS";"4659"
"1ER.PAS PUBLICO";"4634"
"1ER.PAS.";"3761"
"1ER.PAS.";"4470"
"1ER.PAS.";"4648"
"1ER.PAS.";"4653"
"1ER.PAS.";"4654"
"1ER.PAS.";"4659"
"1ER.PAS.";"4708"
"1ER.PAS.";"4721"
"1ER.PAS.";"7979"
"1ER.PAS.";"9170"
"1ER.PAS.PUBLICO";"7939"
"1ER.PASAJE";"3546"
"1ER.PASAJE";"3816"
"1ER.PASAJE";"4323"
"1ER.PASAJE";"4420"
"1ER.PASAJE";"4420"
"1ER.PASAJE";"4420"
"1ER.PASAJE";"4420"
"1ER.PASAJE";"4420"
"1ER.PASAJE";"4470"
"1ER.PASAJE";"4653"
"1ER.PASAJE";"4663"
"1ER.PASAJE";"4670"
"1ER.PASAJE";"4670"
"1ER.PASAJE";"4673"
"1ER.PASAJE";"4708"
"1ER.PASAJE";"4721"
"1ER.PASAJE";"4721"
"1ER.PASAJE";"4725"
"1ER.PASAJE";"4725"
"1ER.PASAJE";"4742"
"1ER.PASAJE";"4875"
"1ER.PASAJE";"6300"
"1ER.PASAJE";"6600"
"1ER.PASAJE";"7017"
"1ER.PASAJE";"7017"
"1ER.PASAJE";"7017"
"1ER.PASAJE";"7040"
"1ER.PASAJE";"7040"
"1ER.PASAJE";"7044"
"1ER.PASAJE";"7061"
"1ER.PASAJE";"7061"
"1ER.PASAJE";"7100"
"1ER.PASAJE";"7131"
"1ER.PASAJE";"7131"
"1ER.PASAJE";"7131"
"1ER.PASAJE";"7173"
"1ER.PASAJE";"7173"
"1ER.PASAJE";"7316"
"1ER.PASAJE";"7337"
"1ER.PASAJE";"7921"
"1ER.PASAJE";"7926"
"1ER.PASAJE";"7928"
"1ER.PASAJE";"7930"
"1ER.PASAJE";"7930"
"1ER.PASAJE";"7933"
"1ER.PASAJE";"7933"
"1ER.PASAJE";"7933"
"1ER.PASAJE";"7947"
"1ER.PASAJE";"7947"
"1ER.PASAJE";"7948"
"1ER.PASAJE";"7955"
"1ER.PASAJE";"7975"
"1ER.PASAJE";"7978"
"1ER.PASAJE";"7978"
"1ER.PASAJE";"7980"
"1ER.PASAJE";"8781"
"1ER.PASAJE";"8842"
"1ER.PASAJE";"9223"
"1ER.PASAJE";"9340"
"1ER.PASAJE";"9340"
"1ER.PASAJE";"9340"
"1ER.PASAJE (1)";"4330"
"1ER.PASAJE (1)";"4420"
"1ER.PASAJE (1)";"4420"
"1ER.PASAJE (1)";"4420"
"1ER.PASAJE (1)";"4551"
"1ER.PASAJE (1)";"4646"
"1ER.PASAJE (1)";"4649"
"1ER.PASAJE (1)";"4654"
"1ER.PASAJE (1)";"4659"
"1ER.PASAJE (1)";"4674"
"1ER.PASAJE (1)";"7017"
"1ER.PASAJE (1)";"7061"
"1ER.PASAJE (1)";"7061"
"1ER.PASAJE (1)";"7061"
"1ER.PASAJE (1)";"7084"
"1ER.PASAJE (1)";"7131"
"1ER.PASAJE (1)";"7173"
"1ER.PASAJE (1)";"7173"
"1ER.PASAJE (1)";"7955"
"1ER.PASAJE (1)";"7960"
"1ER.PASAJE (1)";"7975"
"1ER.PASAJE (1)";"9134"
"1ER.PASAJE (2)";"3761"
"1ER.PASAJE (2)";"4330"
"1ER.PASAJE (2)";"4646"
"1ER.PASAJE (2)";"4653"
"1ER.PASAJE (2)";"4653"
"1ER.PASAJE (2)";"4669"
"1ER.PASAJE (2)";"4669"
"1ER.PASAJE (2)";"4730"
"1ER.PASAJE (2)";"4730"
"1ER.PASAJE (2)";"4742"
"1ER.PASAJE BO.LOS ANGELES";"7948"
"1ER.PASAJE PUBLICO";"7071"
"1ER.PASAJE PUBLICO";"7920"
"1ER.PASAJE PUBLICO";"7928"
"1ER.PASAJE PUBLICO";"7933"
"1ER.PASAJE PUBLICO";"7947"
"1ER.PASAJE PUBLICO";"7955"
"1ER.PASAJE PUBLICO";"7980"
"1ER.PASAJE PUBLICO";"7985"
"1ER.PASAJE PUBLICO";"9158"
"1ER.PASAJE VIV.109";"3761"
"1ER.PJE";"4673"
"1ER.PJE PUBLICO";"7980"
"1ER.PJE Y BONEO";"S/N"
"1ER.PJE.";"3717"
"1ER.PJE.";"3725"
"1ER.PJE.";"3725"
"1ER.PJE.";"3726"
"1ER.PJE.";"3745"
"1ER.PJE.";"3748"
"1ER.PJE.";"3749"
"1ER.PJE.";"3761"
"1ER.PJE.";"3763"
"1ER.PJE.";"3816"
"1ER.PJE.";"3816"
"1ER.PJE.";"3816"
"1ER.PJE.";"3913"
"1ER.PJE.";"4420"
"1ER.PJE.";"4600"
"1ER.PJE.";"4600"
"1ER.PJE.";"4600"
"1ER.PJE.";"4630"
"1ER.PJE.";"4638"
"1ER.PJE.";"4638"
"1ER.PJE.";"4645"
"1ER.PJE.";"4646"
"1ER.PJE.";"4646"
"1ER.PJE.";"4648"
"1ER.PJE.";"4648"
"1ER.PJE.";"4648"
"1ER.PJE.";"4654"
"1ER.PJE.";"4660"
"1ER.PJE.";"4660"
"1ER.PJE.";"4663"
"1ER.PJE.";"4670"
"1ER.PJE.";"4673"
"1ER.PJE.";"4674"
"1ER.PJE.";"4708"
"1ER.PJE.";"4721"
"1ER.PJE.";"4721"
"1ER.PJE.";"4721"
"1ER.PJE.";"4724"
"1ER.PJE.";"4724"
"1ER.PJE.";"4724"
"1ER.PJE.";"4725"
"1ER.PJE.";"4725"
"1ER.PJE.";"4730"
"1ER.PJE.";"4730"
"1ER.PJE.";"4731"
"1ER.PJE.";"4737"
"1ER.PJE.";"4737"
"1ER.PJE.";"4737"
"1ER.PJE.";"4738"
"1ER.PJE.";"4742"
"1ER.PJE.";"4752"
"1ER.PJE.";"4752"
"1ER.PJE.";"4768"
"1ER.PJE.";"4776"
