"id_calle";"calle"
"19287";"1 DE MAYO"
"19709";"10 DE ABRIL"
"19347";"11 DE MARZO"
"19418";"1350"
"19866";"14"
"128225";"167"
"19289";"1ER.PASAJE (1)"
"2027014";"1ER.PASAJE (2)"
"19025";"25 DE MAYO"
"19022";"27 DE ENERO"
"19141";"2DO.PASAJE 2"
"19138";"2DO.PASAJE 4"
"19139";"2DO.PASAJE 5"
"19137";"2DO.PASAJE 6"
"19045";"3205"
"19060";"3ER.PASAJE"
"19066";"3ER.PASAJE 3"
"19064";"3ER.PASAJE 4"
"19065";"3ER.PASAJE 5"
"19062";"3ER.PASAJE 6"
"19063";"3ER.PASAJE 7"
"19061";"3ER.PASAJE 8"
"19734";"4 DE ENERO"
"19742";"49"
"19736";"4TO.PASAJE 1"
"19735";"4TO.PASAJE 2"
"19733";"4TO.PASAJE 3"
"19384";"50-PASAJE"
"19227";"5TO.PASAJE"
"19127";"6TO.PASAJE"
"19135";"7MO.PASAJE"
"19363";"8VO.PASAJE"
"19367";"9 DE JULIO"
"19877";"A.CASSANELLO"
"19031";"A.DEL VALLE"
"19716";"A.DELGADO"
"19608";"A.GENEYRO"
"19604";"A.GODOY"
"19547";"A.JAURETCHE"
"19522";"A.LAMOTHE"
"19427";"A.MECCA"
"19081";"A.STORNI"
"20153";"ABIPONES"
"20151";"AGUADO"
"20146";"ALBERDI"
"20145";"ALBERTI"
"19928";"ALCIRA BONAZZOLA"
"20140";"ALFARO DE VERA"
"19201";"ALFREDO ROCA"
"20134";"ALSINA"
"19921";"ALTE.BROWN"
"20132";"ALVEAR"
"20133";"ARENALES"
"19519";"ARQ.JONAS LARGUIA"
"20119";"ARTIGAS"
"20116";"ARZENO"
"20115";"AUTOPISTA"
"20155";"AV.12 DE OCTUBRE"
"19330";"AV.BLAS PARERA"
"18982";"AV.F.ZUVIRIA"
"19625";"AV.GALICIA"
"19672";"AV.P.ECHAGUE"
"19307";"AV.PEÑALOZA"
"19300";"AV.PTE.PERON"
"19157";"AV.SANTA FE"
"19035";"AV.URQUIZA"
"20114";"AVELLANEDA"
"20113";"AYACUCHO"
"20111";"AZCUENAGA"
"20110";"AZOPARDO"
"20109";"AZUCENAS"
"19567";"B.DE IRIGOYEN"
"19879";"B.DE LAS CASAS"
"128603";"BAHIA AGRADABLE"
"19695";"BAHIA AGRADABLE (EX 205.30)"
"20101";"BARCO Y CENTENERA"
"19937";"BECERRA DE GARAY"
"19936";"BECK BERNARD"
"19935";"BELGRANO"
"19932";"BERUTI"
"2027410";"BO. LOS JESUITAS"
"2027401";"BO. UNL"
"20078";"BO.12 DE INFANTERIA"
"19965";"BO.21 DE OCTUBRE"
"20097";"BO.29 DE ABRIL 1"
"20098";"BO.29 DE ABRIL 2"
"20095";"BO.29 DE ABRIL 3"
"20092";"BO.A.DE NOGUERA"
"20093";"BO.A.DEL VALLE"
"20096";"BO.ACERIA"
"20087";"BO.C.LEIVA"
"20012";"BO.C.NAMUNCURA"
"20084";"BO.CABAL"
"20080";"BO.CHACO CHICO"
"20083";"BO.CNEL.COGORNO"
"20077";"BO.D.CEMENTERIO"
"20074";"BO.DOCENTE"
"20073";"BO.DORREGO"
"20028";"BO.E.LOPEZ"
"20070";"BO.EL ABASTO"
"20067";"BO.EL SABALITO"
"20065";"BO.EL TRIANGULO"
"20062";"BO.EL VERGEL"
"20060";"BO.ENTRADA NORTE"
"20058";"BO.ESMERALDA ESTE"
"20006";"BO.EVA PERON"
"20056";"BO.F.ORTIZ"
"20055";"BO.FENICIA"
"20072";"BO.FONAVI D.BOSCO"
"20053";"BO.GORRITI"
"20051";"BO.GUADALUPE NORTE"
"20046";"BO.JUDICIAL"
"20047";"BO.JUV.DEL NORTE"
"20029";"BO.L.DEL VALLE"
"20045";"BO.LA ESMERALDA NORTE"
"20041";"BO.LA G.CHINA"
"20039";"BO.LA LOMA"
"20038";"BO.LA N.TABLADA"
"20035";"BO.LA TABLADA"
"20033";"BO.LAS DELICIAS"
"20034";"BO.LAS FLORES"
"2003627";"BO.LAS FLORES II"
"19940";"BO.LAS FLORES III"
"20031";"BO.LAS RANITAS"
"20032";"BO.LAS VEGAS"
"20030";"BO.LICEO"
"20027";"BO.LOM.DEL VALLE"
"20025";"BO.LOS ANGELITOS"
"20026";"BO.LOS CENTAUROS"
"20023";"BO.LOS CIPRESES"
"20021";"BO.LOS NARANJOS"
"20022";"BO.LOS PARAISALES"
"20019";"BO.LOS QUINCHITOS"
"20020";"BO.LOS S/TECHO"
"20017";"BO.LOS TANQUECITOS"
"20018";"BO.LOS TRONCOS"
"19992";"BO.LOYOLA"
"20016";"BO.LOYOLA NORTE"
"20086";"BO.M.BOBBIO"
"20014";"BO.MENEGAZO"
"20009";"BO.N.POMPEYA"
"20013";"BO.NUEVA ESMERALDA"
"20011";"BO.NUEVA ESPERANZA"
"2027085";"BO.NUEVA SANTA FE"
"20010";"BO.NUEVO HORIZONTE"
"20007";"BO.P.L.ESMERALDA"
"20001";"BO.PIVIDORI"
"20003";"BO.POLICIAL"
"20004";"BO.POLICIAL  2"
"20008";"BO.PQUE.LICEO"
"20005";"BO.PQUE.NORTE"
"20002";"BO.PUNTA NORTE"
"20000";"BO.Q.ITURRASPE"
"19998";"BO.R .FAVALORO"
"19997";"BO.RIVADAVIA"
"19972";"BO.S.B.PARERA"
"19987";"BO.S.L.GONZAGA"
"19974";"BO.S.MIRAFLORES"
"19995";"BO.SALADILLO"
"19996";"BO.SALDIAS"
"19994";"BO.SAN AGUSTIN I"
"19993";"BO.SAN AGUSTIN II"
"19991";"BO.SAN CAYETANO"
"19985";"BO.SAN MARTIN"
"19986";"BO.SAN PANTALEON"
"19983";"BO.SAN ROQUE"
"19975";"BO.SCARAFIA"
"19976";"BO.SCHNEIDER"
"19984";"BO.STA.MARIA"
"19981";"BO.STA.MARTA"
"19982";"BO.STA.RITA"
"19980";"BO.STO.DOMINGO"
"19973";"BO.TALLERES"
"19971";"BO.TRIBUNALES"
"19969";"BO.TRIO MIDACHI"
"19967";"BO.UNIVERSITARIO"
"19968";"BO.UPCN"
"19958";"BO.V.DEL PARQUE"
"19956";"BO.V.FLORIDA"
"19957";"BO.V.HIPODROMO"
"19953";"BO.V.LOS ANGELES"
"19951";"BO.V.OCULTA"
"19948";"BO.V.SETUBAL"
"19949";"BO.V.TERESA"
"19947";"BO.V.YAPEYU"
"19943";"BO.V.ZAZPE  1"
"19944";"BO.V.ZAZPE  2"
"19942";"BO.V.ZAZPE  3"
"19927";"BOLIVIA"
"19922";"BRASIL"
"19050";"BV. AGUIRRE"
"19309";"BV.PELLEGRINI"
"19208";"C.A.REUTEMANN"
"19882";"C.CARRANZA"
"19589";"C.GRIERSON"
"19518";"C.LARGUIA"
"19492";"C.LEUMANN"
"19883";"C.MONZON"
"19396";"C.NAMUNCURA"
"19393";"C.NEWMAR"
"19233";"C.PUJATO"
"19150";"C.SARSOTTI"
"19911";"CABRERA"
"2026702";"CACIQUE ANDRESITO"
"2026825";"CACIQUE BAIGORRITA"
"2025949";"CACIQUE PINCEN"
"19909";"CAFFERATA"
"19908";"CAILLET BOIS"
"19905";"CALDERON DE SANABRIA"
"19896";"CAMELLI"
"19873";"CASTELLI"
"19871";"CASTRO BARROS"
"19673";"CGO.ECHAGUE"
"19728";"CHACO"
"19727";"CHICLANA"
"19725";"CHUBUT"
"19771";"CINGOLANI"
"19770";"CIRCUNV.OESTE"
"19337";"CJAL.J.PAEZ"
"19904";"CJON.AGUIRRE"
"19665";"CJON.EL SABLE"
"19900";"CJON.FUNES"
"19898";"CJON.LAS PIEDRAS"
"19897";"CJON.ROCA"
"19643";"CNAL.FASOLINO"
"19895";"CNO.DE LOS QUINTEROS"
"19894";"CNO.V.ESPERANZA"
"19768";"COCHABAMBA"
"19766";"COGORNO"
"19767";"COLOMBIA"
"19693";"COMBATE PRADERA DE GANSO (EX 205.50)"
"19758";"CONO SUR"
"19755";"CORDOBA"
"19748";"CRISTO OBRERO"
"19747";"CRUC.ARG.G.BELGRANO"
"19757";"D.CONTRERAS"
"19723";"DAMIANOVICH"
"19717";"DEFENSA"
"19715";"DEL TRABAJO"
"19714";"DERQUI"
"19125";"DGO.SILVA"
"19925";"DIAG.BORGES"
"19712";"DIAZ DE GUZMAN"
"18985";"DIEGO DE CEBALLOS"
"19708";"DIEZ DE ANDINO"
"19704";"DON GUANELLA"
"19701";"DORREGO"
"19636";"DR. FESTER"
"19129";"DR.SEVERO"
"18988";"DR.ZAVALLA"
"19679";"DUSSO"
"19892";"E.DEL CAMPO"
"19187";"E.J.ROSAS"
"19548";"E.JATON"
"18986";"E.ZEBALLOS"
"19671";"ECHAGUE Y ANDIA"
"19674";"ECUADOR"
"19660";"ESPAÑA"
"19657";"ESPORA"
"19656";"EST.DE ISRAEL"
"19650";"ESTRADA"
"19651";"EUROPA"
"19649";"EX COMB.MALVINAS"
"20099";"F.BARRETO (DUPLICADA)"
"19419";"F.MIGUEZ"
"19225";"F.QUIROGA"
"19161";"F.SANCHEZ"
"19028";"F.VARELA"
"19647";"FALCON"
"19642";"FERNANDEZ MONTIEL"
"19641";"FERNANDEZ ORTIZ"
"20149";"FERNANDO AGUAYO"
"19644";"FLORENCIO FERNANDEZ"
"19318";"FLORIAN PAUCKE"
"19634";"FORMOSA"
"19632";"FRANCIA"
"20150";"FRANCISCO AGUAYO"
"19196";"FRAY C.RODRIGUEZ"
"20120";"FRAY DE AROCA"
"19934";"FRAY L.BELTRAN"
"19345";"FRAY.D.DE ORO"
"19631";"FRENCH"
"19195";"FRESNO DE LOPEZ"
"19627";"FURLONG CARDIFF"
"19720";"G.ANUNCIACION"
"19881";"G.CARRASCO"
"19756";"G.DE CONTRERAS"
"19626";"GABOTO"
"19616";"GANDOLFO"
"19615";"GARCIA BAÑON"
"19614";"GARCIA VIEYRA"
"19613";"GARMENDIA"
"19628";"GDOR.FREYRE"
"19496";"GDOR.L.LEIVA"
"19408";"GDOR.L.MOLINAS"
